danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.889,0.512,-6.936,0.209,0.128,0,0.267,0.245,130.009,5shgHEo8Zgm94sjr6BYTUq,148547,Ella
0.824,0.878,-5.02,0.273,0.169,0,0.369,0.645,100.005,7I3RalBqE7ZE0RSxgGlGlm,298385,AMERICA HAS A PROBLEM
0.921,0.881,-2.753,0.067,0.0283,5.71e-06,0.0595,0.914,127.018,6vw2M02LT3otGUoK4ZqHwx,227239,BREAK MY SOUL
0.823,0.829,-5.524,0.292,0.392,0,0.543,0.6,80.538,21LCotDEwR7R8qOnqPVzi9,230358,Say My Name
0.808,0.705,-5.332,0.298,0.368,0,0.907,0.656,119.977,77pfjsq0gSZwO8bYVTVROo,206649,Partition
0.963,0.643,-5.785,0.117,0.0507,4.94e-05,0.157,0.534,107.005,0fGh0trRN1xz3s41r7V5ce,274440,DELRESTO (ECHOES) (feat. Beyoncé)
0.937,0.615,-6.521,0.061,0.0806,0,0.0602,0.771,104.482,2WXUcFnJPPATncUkPYC54v,283693,Madonna
0.562,0.901,-4.166,0.443,0.0695,0,0.229,0.241,199.226,55u5QIlEuzCipJBtZPdJio,98153,ALIEN SUPERSTAR
0.773,0.597,-7.138,0.309,0.194,0,0.22,0.305,160.101,4qmG24ebshLXtKu9HIShBP,217527,Runnin' (Lose It All)
0.667,0.66,-9.054,0.148,0.263,0,0.145,0.216,139.117,1ymWIr4E5x6xORlDO0bXlP,284904,Feeling Myself
0.849,0.704,-6.036,0.207,0.0592,0,0.0965,0.0978,137.999,2By3Bbd6UYQqdhLnkMHZb6,290422,Breaking your heart
0.893,0.651,-8.647,0.367,0.0995,0,0.371,0.6,105.835,1jo3TwNGCXfNdB5uba3ZVv,253580,Flawless Remix (feat. Nicki Minaj)
0.73,0.785,-7.986,0.243,0.105,0,0.0445,0.596,82.037,7My9ca9QEIR8MvIOdIrTWA,215120,Schwarzes Herz
0.847,0.692,-6.022,0.206,0.064,0,0.0966,0.101,137.997,68IkI6ttYOzNyS5iW2Zx70,290422,Perfect Duet (Ed Sheeran & Beyoncé)
0.778,0.824,-5.892,0.0707,0.284,0,0.405,0.758,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,218093,Hips Don't Lie (feat. Wyclef Jean)
