,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
202,0.851,0.806,-4.618,0.0787,0.119,1.72e-06,0.121,0.774,119.001,237200,2,1QV6tiMFM6fSOKOGLMHYYg,Poker Face
203,0.822,0.739,-4.541,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,241933,2,1dzQoRqT5ucxXVaAhTcT0J,Just Dance
204,0.577,0.385,-6.362,0.03,0.371,0.0,0.231,0.331,95.82,215733,2,2VxeLyX666F8uXCJ0dZF8B,Shallow
205,0.664,0.934,-3.848,0.0696,0.00108,2.73e-05,0.271,0.529,130.983,249067,2,7F25roCtYi55JouckaayPC,Judas
206,0.695,0.921,-3.752,0.0363,0.00314,5.26e-05,0.0842,0.714,119.007,294573,1,0SiywuOBRcynK0uKGWdCnn,Bad Romance
207,0.591,0.634,-6.365,0.0291,0.0107,1.95e-06,0.113,0.44,99.998,244760,2,53jnnqFSRGMDB9ADrNriCA,Bloody Mary
208,0.623,0.795,-6.63,0.046,0.000399,0.0014,0.375,0.358,98.995,274213,1,1HHeOs6zRdF8Ck58easiAY,Alejandro
209,0.519,0.617,-4.287,0.0313,0.0387,0.0,0.401,0.222,147.708,225300,2,0oWraSo5ASJ0h1BEagTyEw,Hold My Hand
210,0.762,0.692,-3.973,0.0437,0.112,0.0,0.094,0.397,114.903,208307,0,02XnQdf7sipaKBBHixz3Zp,Paparazzi
211,0.626,0.799,-6.612,0.0461,0.00036,0.00155,0.36,0.37,98.993,274213,1,4lwavw59UjXUPJZtKNdFYp,Alejandro
212,0.668,0.78,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,0,5ka2ajep9OAvU5Sgduhiex,Applause
213,0.416,0.292,-8.357,0.0259,0.191,1.63e-06,0.108,0.155,82.811,245436,2,5DQIZ8XC0EP7cfRFrtzY5h,Happy Mistake
214,0.666,0.423,-8.012,0.0429,0.494,0.0,0.106,0.154,129.893,205280,0,7dZ1Odmx9jWIweQSatnRqo,Million Reasons
215,0.587,0.828,-5.108,0.161,0.00327,0.0,0.331,0.493,123.907,260253,2,30XU4suKzCeoCK9YFzdufg,Born This Way
216,0.605,0.836,-4.442,0.0541,0.00125,0.0,0.0634,0.351,119.986,174735,0,5zZoEDawAlJNgUzxknlV9V,The Joker
217,0.894,0.678,-5.611,0.0523,0.00569,2.43e-06,0.317,0.844,105.029,216333,2,0eH2eHURaXUP15D8gQlfjx,LoveGame
218,0.575,0.33,-6.557,0.031,0.416,0.0,0.0872,0.276,95.799,217213,2,6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit
219,0.549,0.502,-5.972,0.0405,0.299,0.0,0.764,0.291,129.842,210200,0,74iZuPGwyL33VlTr6jTnab,Always Remember Us This Way
220,0.695,0.801,-4.503,0.0441,0.00124,0.0,0.479,0.646,119.973,249280,2,2WgyOP8Z1D6GQYumCwH4Dk,Monster
221,0.575,0.665,-4.106,0.0296,0.133,0.0,0.23,0.705,112.093,184498,0,7jTLS32BMC2UyTTjEUW6BT,That's Life
222,0.583,0.771,-6.477,0.0412,0.000323,0.0163,0.109,0.358,127.955,320547,1,57F80059mWaWFvWG3tBTbO,The Edge Of Glory
223,0.825,0.832,-5.862,0.0403,0.00587,0.000733,0.114,0.713,122.021,220627,2,7rl7ao5pb9BhvAzPdWStxi,Telephone
224,0.851,0.806,-4.618,0.0787,0.119,1.72e-06,0.121,0.774,119.001,237200,2,5R8dQOPq8haW94K7mgERlO,Poker Face
225,0.612,0.73,-5.401,0.0634,0.534,0.0,0.26,0.21,99.931,166300,5,6RyJt2SvLFghIDe1eCviD9,Good Morning
226,0.664,0.743,-4.103,0.0744,0.127,0.0,0.356,0.796,124.996,249467,2,2zOSxEAk90JTKYNHqE8LXc,That's Entertainment
227,0.626,0.799,-6.612,0.0461,0.00036,0.00155,0.36,0.37,98.993,274213,1,3clsCV1f1E9u1Fge9ntulk,Alejandro
228,0.534,0.552,-4.985,0.064,0.296,0.0,0.0767,0.458,87.889,191700,0,2YQ0DrIFS90FEK8T4JOa8W,Get Happy (2024)
229,0.727,0.97,-4.883,0.101,0.00482,0.0,0.288,0.541,131.06,225467,2,7yzdBiRz4WfiDAcmQ23c8l,Scheiße
230,0.646,0.736,-7.118,0.0449,0.216,0.0,0.415,0.873,140.098,212878,0,7mXuWTczZNxG5EDcjFEuJR,LADY GAGA
231,0.661,0.936,-3.832,0.0742,0.000971,1.38e-05,0.36,0.556,131.0,249067,2,4yQmDtjax2Ye9wY8EPAO1x,Judas
232,0.53,0.612,-4.286,0.0331,0.0403,0.0,0.393,0.264,148.009,225280,2,1c2hJSwcCfoPEw1su83Sw0,Hold My Hand
233,0.503,0.926,-3.373,0.191,0.0245,0.000228,0.247,0.633,170.121,222603,2,2Qt1GqEOR6gfBCNTZv9Q8P,"Oh, When The Saints"
234,0.614,0.79,-5.716,0.163,0.0168,0.00331,0.118,0.684,128.654,191602,0,7dstLFiyNkxcLJVj8q76Ch,bloody mary (lady gaga) - sped up version
235,0.672,0.855,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056,182200,0,7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande)
236,0.824,0.837,-5.903,0.0405,0.00521,0.000817,0.112,0.715,122.013,220640,2,4TCL0qqKyqsMZml0G3M9IM,Telephone
237,0.613,0.881,-4.43,0.0587,0.00103,0.0059,0.462,0.381,131.097,264520,2,02d1E4NRuh7OEQO4vCb9PD,Marry The Night
238,0.662,0.798,-6.735,0.0356,0.000141,0.0488,0.64,0.511,119.98,254267,2,6LGwEHsFbxt7BgDwGXqFgj,Government Hooker
239,0.451,0.793,-6.232,0.0683,0.281,2.67e-05,0.145,0.287,127.594,157863,5,1CmyFUdrzcI2TldyJzOHSb,World On A String
240,0.822,0.739,-4.541,0.0311,0.0264,4.28e-05,0.181,0.745,118.99,241933,2,2x7MyWybabEz6Y6wvHuwGE,Just Dance
241,0.851,0.806,-4.618,0.0787,0.119,1.72e-06,0.121,0.774,119.001,237200,2,7zACUQbWQxzT4aER7ityBV,Poker Face
242,0.397,0.47,-7.457,0.0305,0.501,0.0,0.14,0.0767,133.936,178714,0,1ud0FiEQLVIDlWEqDIEvwW,Folie à Deux
